epoch,step,train_loss
9,49,4.981745719909668
19,99,4.275763511657715
29,149,4.036937713623047
39,199,5.185807228088379
49,249,8.223079681396484
59,299,4.36683464050293
69,349,5.403515815734863
79,399,4.9646148681640625
89,449,3.977264881134033
99,499,4.772835731506348
109,549,3.322038412094116
119,599,4.321915626525879
129,649,5.511075973510742
139,699,4.44075870513916
149,749,3.3245410919189453
159,799,4.585689544677734
169,849,5.204720497131348
179,899,4.743854522705078
189,949,3.2919108867645264
199,999,5.191746711730957
209,1049,5.801625728607178
219,1099,4.603435516357422
229,1149,4.506747245788574
239,1199,5.924320697784424
249,1249,4.035794258117676
259,1299,4.654781341552734
269,1349,4.454728126525879
279,1399,3.4125609397888184
289,1449,3.8464293479919434
299,1499,5.59394645690918
309,1549,4.419486045837402
319,1599,5.043229103088379
329,1649,4.746091842651367
339,1699,4.620944023132324
349,1749,5.112966060638428
359,1799,3.738527297973633
369,1849,3.0241408348083496
379,1899,4.509093284606934
389,1949,3.174013614654541
399,1999,3.274998664855957
409,2049,4.823090553283691
419,2099,5.752960205078125
429,2149,4.9236979484558105
439,2199,2.227802276611328
449,2249,4.616089820861816
459,2299,4.385064125061035
469,2349,4.327715873718262
479,2399,2.7901463508605957
489,2449,5.4022040367126465
499,2499,1.5555717945098877
